;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
511;306;0.5998 s;511;306;0.0159 s;511;306;0.0105 s;511;306;0.0070 s;511;306;0.0080 s;511;306;0.0080 s;511;306;0.0080 s;0.0130 s;0.1586 s;0.1610 s;0.4043 s;0.0799 s
284;415;0.8090 s;284;415;0.0210 s;284;415;0.0150 s;284;415;0.0120 s;284;415;0.0095 s;284;415;0.0090 s;284;415;0.0110 s;0.0020 s;0.2199 s;0.0640 s;0.1395 s;0.0340 s
97;296;0.5332 s;97;296;0.0230 s;97;296;0.0040 s;97;296;0.0030 s;97;296;0.0035 s;97;296;0.0030 s;97;296;0.0050 s;0.0210 s;0.1510 s;0.9390 s;1.6522 s;0.4411 s
347;278;0.5192 s;347;278;0.0200 s;347;278;0.0130 s;347;278;0.0100 s;347;278;0.0100 s;347;278;0.0100 s;347;278;0.0100 s;0.0050 s;0.1390 s;0.0700 s;0.1170 s;0.0350 s
416;430;0.8085 s;416;430;0.0220 s;416;430;0.0150 s;416;430;0.0110 s;416;430;0.0120 s;416;430;0.0110 s;416;430;0.0109 s;0.0040 s;0.2210 s;0.0110 s;0.0395 s;0.0060 s
0;0;1.5063 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.8209 s;0.4450 s;1.7970 s;4.1140 s;0.8479 s
34;282;0.4913 s;34;282;0.0150 s;34;282;0.0020 s;34;282;0.0020 s;34;282;0.0010 s;34;282;0.0020 s;34;282;0.0020 s;0.0090 s;0.1410 s;1.3877 s;2.5232 s;0.7205 s
108;377;0.7410 s;108;377;0.0280 s;108;377;0.0050 s;108;377;0.0040 s;108;377;0.0050 s;108;377;0.0050 s;108;377;0.0050 s;0.0080 s;0.2010 s;0.7816 s;0.9138 s;0.4901 s
296;129;0.2970 s;296;129;0.0240 s;296;129;0.0060 s;296;129;0.0040 s;296;129;0.0040 s;296;129;0.0040 s;296;129;0.0040 s;0.0140 s;0.0690 s;0.7490 s;1.2978 s;0.3274 s
670;418;0.8114 s;670;418;0.0207 s;670;418;0.0030 s;670;418;0.0030 s;670;418;0.0030 s;670;418;0.0030 s;670;418;0.0030 s;0.0140 s;0.2300 s;0.9441 s;1.4334 s;0.5512 s
303;171;0.3177 s;303;171;0.0260 s;303;171;0.0090 s;303;171;0.0060 s;303;171;0.0050 s;303;171;0.0060 s;303;171;0.0050 s;0.0040 s;0.0880 s;0.4314 s;0.8776 s;0.2370 s
286;554;1.0099 s;286;554;0.0190 s;286;554;0.0080 s;286;554;0.0065 s;286;554;0.0060 s;286;554;0.0070 s;286;554;0.0060 s;0.0020 s;0.2905 s;0.2990 s;0.7727 s;0.1512 s
0;0;1.4418 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.5682 s;0.4060 s;1.6090 s;3.6964 s;0.8547 s
343;444;0.8054 s;343;444;0.0250 s;343;444;0.0140 s;343;444;0.0110 s;343;444;0.0100 s;343;444;0.0110 s;343;444;0.0110 s;0.0010 s;0.2248 s;0.0220 s;0.0570 s;0.0110 s
409;332;0.6107 s;409;332;0.0180 s;409;332;0.0155 s;409;332;0.0115 s;409;332;0.0120 s;409;332;0.0110 s;409;332;0.0110 s;0.0000 s;0.1684 s;0.0060 s;0.0200 s;0.0040 s
389;385;0.7078 s;389;385;0.0148 s;389;385;0.0165 s;389;385;0.0130 s;389;385;0.0130 s;389;385;0.0130 s;389;385;0.0140 s;0.0040 s;0.1920 s;0.0000 s;0.0000 s;0.0000 s
305;247;0.4431 s;305;247;0.0170 s;305;247;0.0100 s;305;247;0.0079 s;305;247;0.0080 s;305;247;0.0080 s;305;247;0.0080 s;0.0070 s;0.1221 s;0.1410 s;0.3691 s;0.0700 s
358;32;0.0600 s;358;32;0.0100 s;358;32;0.0020 s;358;32;0.0020 s;358;32;0.0020 s;358;32;0.0010 s;358;32;0.0020 s;0.0150 s;0.0140 s;1.3172 s;1.5171 s;0.6543 s
382;441;0.8106 s;382;441;0.0270 s;382;441;0.0150 s;382;441;0.0110 s;382;441;0.0110 s;382;441;0.0110 s;382;441;0.0110 s;0.0010 s;0.2215 s;0.0190 s;0.0220 s;0.0100 s
407;435;0.7990 s;407;435;0.0210 s;407;435;0.0140 s;407;435;0.0110 s;407;435;0.0110 s;407;435;0.0110 s;407;435;0.0110 s;0.0020 s;0.2190 s;0.0140 s;0.0360 s;0.0070 s
501;253;0.4772 s;501;253;0.0200 s;501;253;0.0090 s;501;253;0.0070 s;501;253;0.0070 s;501;253;0.0080 s;501;253;0.0070 s;0.0090 s;0.1250 s;0.1447 s;0.6192 s;0.0725 s
370;486;0.8888 s;370;486;0.0220 s;370;486;0.0130 s;370;486;0.0090 s;370;486;0.0140 s;370;486;0.0110 s;370;486;0.0100 s;0.0160 s;0.2468 s;0.0930 s;0.1250 s;0.0525 s
379;373;0.7025 s;379;373;0.0290 s;379;373;0.0170 s;379;373;0.0145 s;379;373;0.0130 s;379;373;0.0140 s;379;373;0.0150 s;0.0010 s;0.2010 s;0.0010 s;0.0000 s;0.0000 s
391;333;0.7015 s;391;333;0.0280 s;391;333;0.0170 s;391;333;0.0130 s;391;333;0.0270 s;391;333;0.0140 s;391;333;0.0150 s;0.0000 s;0.2035 s;0.0040 s;0.0080 s;0.0020 s
405;366;0.7466 s;405;366;0.0250 s;405;366;0.0190 s;405;366;0.0130 s;405;366;0.0130 s;405;366;0.0130 s;405;366;0.0130 s;0.0100 s;0.1990 s;0.0010 s;0.0000 s;0.0010 s
375;423;0.7980 s;375;423;0.0260 s;375;423;0.0200 s;375;423;0.0120 s;375;423;0.0140 s;375;423;0.0130 s;375;423;0.0120 s;0.0160 s;0.2400 s;0.0050 s;0.0060 s;0.0030 s
377;375;0.7640 s;377;375;0.0240 s;377;375;0.0245 s;377;375;0.0160 s;377;375;0.0160 s;377;375;0.0150 s;377;375;0.0140 s;0.0000 s;0.2115 s;0.0000 s;0.0000 s;0.0000 s
472;379;0.8091 s;472;379;0.0290 s;472;379;0.0140 s;472;379;0.0100 s;472;379;0.0120 s;472;379;0.0120 s;472;379;0.0140 s;0.0050 s;0.2140 s;0.0670 s;0.0820 s;0.0390 s
104;337;0.6693 s;104;337;0.0255 s;104;337;0.0050 s;104;337;0.0040 s;104;337;0.0040 s;104;337;0.0030 s;104;337;0.0050 s;0.0110 s;0.1940 s;0.9401 s;1.2941 s;0.4370 s
563;361;0.7470 s;563;361;0.0240 s;563;361;0.0090 s;563;361;0.0071 s;563;361;0.0070 s;563;361;0.0070 s;563;361;0.0080 s;0.0050 s;0.1896 s;0.3440 s;0.4291 s;0.1854 s
373;374;0.7462 s;373;374;0.0140 s;373;374;0.0190 s;373;374;0.0145 s;373;374;0.0150 s;373;374;0.0140 s;373;374;0.0160 s;0.0020 s;0.2005 s;0.0000 s;0.0000 s;0.0000 s
