;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;0.6698 s;335;368;0.0230 s;335;368;0.0150 s;0.6230 s;0.1190 s;0.1865 s;0.0040 s;0.0030 s;0.0020 s
0;0;1.3774 s;0;0;0.0000 s;0;0;0.0000 s;1.3831 s;1.5927 s;0.4081 s;1.6094 s;3.5133 s;0.8115 s
0;0;1.0140 s;668;537;0.0230 s;668;537;0.0020 s;0.9808 s;0.1300 s;0.2800 s;0.9081 s;2.3129 s;0.4576 s
0;0;0.3810 s;297;210;0.0150 s;297;210;0.0070 s;0.3537 s;0.0237 s;0.1038 s;0.2604 s;0.6051 s;0.1300 s
0;0;1.4251 s;0;0;0.0000 s;0;0;0.0000 s;1.3892 s;1.6066 s;0.4121 s;1.6158 s;3.4852 s;0.8096 s
0;0;0.3395 s;291;189;0.0196 s;291;189;0.0060 s;0.3141 s;0.0650 s;0.0940 s;0.3336 s;0.7535 s;0.1640 s
0;0;0.7794 s;258;430;0.0215 s;258;430;0.0105 s;0.7527 s;0.0205 s;0.2233 s;0.1130 s;0.2562 s;0.0590 s
0;0;0.8885 s;189;492;0.0240 s;189;492;0.0060 s;0.8804 s;0.1041 s;0.2535 s;0.3349 s;0.9663 s;0.1691 s
0;0;1.1324 s;550;605;0.0190 s;550;605;0.0030 s;1.0870 s;0.0560 s;0.3181 s;0.5221 s;1.8335 s;0.2630 s
0;0;0.5297 s;270;295;0.0246 s;270;295;0.0091 s;0.4969 s;0.0497 s;0.1466 s;0.0827 s;0.3030 s;0.0440 s
0;0;1.4217 s;0;0;0.0000 s;0;0;0.0000 s;1.3887 s;1.6030 s;0.4136 s;1.6235 s;3.4550 s;0.8128 s
0;0;0.5336 s;487;284;0.0185 s;487;284;0.0080 s;0.4773 s;0.1157 s;0.1410 s;0.0920 s;0.3700 s;0.0470 s
0;0;0.6532 s;391;353;0.0170 s;391;353;0.0130 s;0.5958 s;0.0080 s;0.1762 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.1950 s;595;100;0.0210 s;595;100;0.0020 s;0.1630 s;0.0970 s;0.0485 s;0.8116 s;2.5916 s;0.4050 s
0;0;0.6940 s;414;374;0.0120 s;414;374;0.0130 s;0.6368 s;0.0410 s;0.1875 s;0.0010 s;0.0020 s;0.0010 s
0;0;0.5320 s;414;281;0.0270 s;414;281;0.0110 s;0.4779 s;0.0060 s;0.1400 s;0.0637 s;0.1222 s;0.0330 s
0;0;0.7197 s;314;380;0.0295 s;314;380;0.0120 s;0.6446 s;0.0180 s;0.1980 s;0.0190 s;0.0180 s;0.0100 s
0;0;1.3809 s;0;0;0.0000 s;0;0;0.0000 s;1.3835 s;1.5860 s;0.4067 s;1.5920 s;3.4342 s;0.8070 s
0;0;0.7491 s;352;408;0.0140 s;352;408;0.0140 s;0.7063 s;0.0482 s;0.2078 s;0.0010 s;0.0040 s;0.0010 s
0;0;0.6660 s;358;368;0.0260 s;358;369;0.0140 s;0.6205 s;0.0390 s;0.1830 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5467 s;404;292;0.0170 s;404;292;0.0110 s;0.5016 s;0.0890 s;0.1440 s;0.0440 s;0.0740 s;0.0220 s
0;0;0.5641 s;377;310;0.0160 s;377;310;0.0120 s;0.5165 s;0.0200 s;0.1525 s;0.0220 s;0.0211 s;0.0110 s
0;0;0.7026 s;451;376;0.0270 s;451;376;0.0120 s;0.6340 s;0.0310 s;0.1900 s;0.0310 s;0.0300 s;0.0170 s
0;0;0.6908 s;381;378;0.0200 s;381;378;0.0140 s;0.6311 s;0.0200 s;0.1862 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4786 s;427;254;0.0130 s;427;254;0.0090 s;0.4271 s;0.1078 s;0.1276 s;0.1185 s;0.2390 s;0.0600 s
0;0;0.7370 s;393;396;0.0270 s;393;396;0.0140 s;0.6725 s;0.0100 s;0.1980 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7310 s;385;389;0.0230 s;385;389;0.0140 s;0.6680 s;0.0250 s;0.1970 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.4846 s;431;260;0.0250 s;431;260;0.0100 s;0.4581 s;0.0440 s;0.1280 s;0.1060 s;0.2401 s;0.0535 s
0;0;1.4177 s;0;0;0.0000 s;0;0;0.0000 s;1.3883 s;1.5890 s;0.4150 s;1.6064 s;3.4653 s;0.8096 s
0;0;0.6034 s;133;344;0.0210 s;133;344;0.0050 s;0.5814 s;0.0020 s;0.1708 s;0.6240 s;0.7906 s;0.3099 s
0;0;0.8800 s;477;471;0.0195 s;477;471;0.0100 s;0.8323 s;0.1335 s;0.2420 s;0.0820 s;0.3323 s;0.0410 s
0;0;1.3653 s;0;0;0.0000 s;0;0;0.0000 s;1.3692 s;1.5863 s;0.4075 s;1.6230 s;3.4733 s;0.8050 s
0;0;0.6206 s;387;330;0.0220 s;387;330;0.0140 s;0.5611 s;0.0300 s;0.1650 s;0.0059 s;0.0065 s;0.0020 s
0;0;1.3942 s;0;0;0.0000 s;0;0;0.0000 s;1.4069 s;1.5987 s;0.4110 s;1.6135 s;3.4444 s;0.8241 s
0;0;0.4746 s;400;254;0.0210 s;400;254;0.0090 s;0.4250 s;0.1576 s;0.1260 s;0.1230 s;0.1580 s;0.0716 s
0;0;0.5265 s;219;295;0.0170 s;219;295;0.0070 s;0.4920 s;0.0450 s;0.1460 s;0.2228 s;0.5531 s;0.1110 s
0;0;0.7061 s;379;381;0.0170 s;379;381;0.0154 s;0.6462 s;0.0100 s;0.1908 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.7638 s;343;421;0.0240 s;343;421;0.0140 s;0.7188 s;0.0060 s;0.2105 s;0.0060 s;0.0220 s;0.0030 s
0;0;0.5085 s;195;285;0.0200 s;195;285;0.0060 s;0.4799 s;0.0560 s;0.1430 s;0.3404 s;0.7685 s;0.1580 s
0;0;0.8350 s;446;445;0.0200 s;446;445;0.0120 s;0.7666 s;0.0020 s;0.2255 s;0.0330 s;0.1320 s;0.0170 s
0;0;0.6523 s;360;353;0.0230 s;360;353;0.0145 s;0.6043 s;0.0168 s;0.1795 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.8573 s;364;465;0.0188 s;364;465;0.0110 s;0.8192 s;0.0580 s;0.2370 s;0.0490 s;0.0560 s;0.0270 s
0;0;0.6480 s;375;347;0.0280 s;375;347;0.0140 s;0.5979 s;0.0790 s;0.1823 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.7241 s;409;387;0.0150 s;409;387;0.0140 s;0.6585 s;0.0390 s;0.1930 s;0.0000 s;0.0015 s;0.0000 s
0;0;0.6461 s;339;352;0.0230 s;339;352;0.0130 s;0.5966 s;0.0050 s;0.1774 s;0.0030 s;0.0080 s;0.0010 s
0;0;0.5017 s;449;268;0.0180 s;449;268;0.0090 s;0.4492 s;0.0395 s;0.1335 s;0.0900 s;0.2770 s;0.0436 s
0;0;0.6325 s;264;349;0.0230 s;264;349;0.0100 s;0.5928 s;0.0570 s;0.1780 s;0.0970 s;0.1410 s;0.0476 s
0;0;0.7961 s;353;431;0.0140 s;353;431;0.0130 s;0.7410 s;0.0260 s;0.2210 s;0.0100 s;0.0220 s;0.0060 s
0;0;1.0226 s;299;552;0.0160 s;299;552;0.0060 s;0.9880 s;0.0590 s;0.2905 s;0.2875 s;0.6355 s;0.1445 s
0;0;0.5484 s;402;298;0.0220 s;402;298;0.0110 s;0.4991 s;0.1060 s;0.1470 s;0.0350 s;0.0560 s;0.0170 s
0;0;0.8394 s;459;448;0.0200 s;459;448;0.0100 s;0.7887 s;0.0825 s;0.2280 s;0.0450 s;0.1776 s;0.0235 s
0;0;0.6751 s;334;373;0.0280 s;334;373;0.0140 s;0.6249 s;0.0100 s;0.1890 s;0.0040 s;0.0040 s;0.0020 s
0;0;0.6939 s;311;377;0.0160 s;311;377;0.0120 s;0.6442 s;0.0320 s;0.1890 s;0.0215 s;0.0205 s;0.0100 s
0;0;0.5212 s;354;282;0.0150 s;354;282;0.0110 s;0.4758 s;0.0289 s;0.1392 s;0.0616 s;0.0825 s;0.0300 s
0;0;0.8138 s;316;443;0.0220 s;316;443;0.0110 s;0.7706 s;0.0225 s;0.2280 s;0.0250 s;0.1060 s;0.0140 s
0;0;0.3521 s;177;201;0.0170 s;177;201;0.0040 s;0.3369 s;0.0495 s;0.1000 s;0.3877 s;1.5560 s;0.1920 s
